260410 222922.859|CONFIG|qtp1607460018-15|log|Now logging to C:\Users\Lenovo\git\2shahds_WCF_2026\logs directory.
260410 222922.860|INFO|qtp1607460018-15|log|
260410 222922.860|INFO|qtp1607460018-15|log|Version 9.10.0 () Java ver 1.8.0_51 build 7065 Windows 8.1 6.3 (amd64) 
260410 222922.860|INFO|qtp1607460018-15|log|Working directory is C:\Users\Lenovo\git\2shahds_WCF_2026
260410 222922.860|INFO|qtp1607460018-15|log|Process id is 23628@lilsaados
260410 222922.860|INFO|qtp1607460018-15|log|Starting ConnectionManager...
260410 222922.863|INFO|qtp1607460018-15|log|Started ConnectionManager
260410 222922.900|SEVERE|qtp1607460018-15|log|Cannot start PC^2, pc2v9.ini file not found in C:\Users\Lenovo\git\2shahds_WCF_2026
260410 222922.901|INFO|qtp1607460018-15|log|Contacting server at localhost:50002
260410 222922.901|INFO|qtp1607460018-15|log|Connecting to localhost:50002
260410 222922.910|INFO|Thread-29|log|receiveUnencrypted(TransportWrapper, ConnectionHandlerID=Socket[addr=localhost/127.0.0.1,port=50002,localport=62283]--3562130668435684254)
